split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
validation,0,sigma_T,18186,0.0929787160490488,0.052634820546907754,18186,0.09297872719669902,0.05263482241508369,-1.1147650219589522e-08,-1.8681759333949444e-09,1.1989463133869715e-07,3.549315543733224e-08
validation,0,yF,18186,0.12816310854383708,0.08235507880344808,18186,0.13960507528454708,0.08359512310799994,-0.011441966740709991,-0.0012400443045518517,0.0819595327561598,0.014833931196557818
validation,0,yN,18186,0.0961459919431853,0.05869856219499874,18186,0.10429087184315453,0.06052063164453518,-0.008144879899969232,-0.0018220694495364384,0.07809772567841322,0.030106583491036076
validation,0,yT,18186,0.2136733301285789,0.15582140053405394,18186,0.2526409534290871,0.15362578852825873,-0.03896762330050821,0.002195612005795211,0.1542411187560923,-0.01429194946258218
validation,1,all,7079,0.13442649937379086,0.07952399210510672,7079,0.15285879952628573,0.08700496712098589,-0.018432300152494863,-0.007480975015879174,0.12058383429424506,0.08598330949859916
validation,1,delta_yF,7079,0.16221234738689583,0.09859168931982884,7079,0.20865455511896702,0.12637161249738238,-0.046442207732071195,-0.02777992317755354,0.22257940980771584,0.2198272430695538
validation,1,delta_yN,7079,0.13784247369473776,0.08178204502623572,7079,0.15875524487033646,0.09300383590745932,-0.0209127711755987,-0.011221790881223603,0.13172963950059874,0.12065944132013555
validation,1,delta_yT,7079,0.2589382224550642,0.16671388111203417,7079,0.32936052828245466,0.20399671741411973,-0.07042230582739045,-0.037282836302085565,0.21381525647480543,0.18276194232282786
validation,1,sigma_F,7079,0.04968555078493211,0.022243889968835428,7079,0.04968554916675755,0.022243894012504116,1.6181745596255404e-09,-4.043668688086255e-09,-3.256831386112948e-08,1.8178780593960567e-07
validation,1,sigma_N,7079,0.11939879750629552,0.05241751829131981,7079,0.11939879299540233,0.05241752922880159,4.510893186759901e-09,-1.0937481781381209e-08,-3.778005684641721e-08,2.086607656312699e-07
validation,1,sigma_T,7079,0.07981832491337633,0.042010059833593974,7079,0.07981832565986487,0.04201006014513117,-7.464885376506913e-10,-3.115371988160476e-10,9.352345234999698e-09,7.415776072202403e-09
validation,1,yF,7079,0.11930343681147587,0.07161152485754382,7079,0.1259789658327469,0.07259873645060445,-0.006675529021271026,-0.0009872115930606301,0.05298923496588819,0.01359819249378149
validation,1,yN,7079,0.09040353946886256,0.05236557368960046,7079,0.09483473592883768,0.053117398770957835,-0.004431196459975112,-0.0007518250813573768,0.04672545788813293,0.014154026717295508
validation,1,yT,7079,0.19223580134247764,0.12797974684696814,7079,0.20924249788120428,0.11728491966191246,-0.017006696538726634,0.010694827185055683,0.08127744942321444,-0.09118672047425004
validation,2,all,6038,0.13205533160648775,0.08307242906816198,6038,0.1580166298839279,0.09470602908706047,-0.025961298277440148,-0.011633600018898488,0.16429472199546455,0.12283906453520568
validation,2,delta_yF,6038,0.12702469248599568,0.07934843305326843,6038,0.18035666561981917,0.11229618046211856,-0.053331973133823485,-0.032947747408850134,0.29570281170668805,0.29340042798663635
validation,2,delta_yN,6038,0.10590897019793682,0.0657086193897188,6038,0.13781273447091566,0.08378689073991127,-0.031903764272978835,-0.01807827135019248,0.23150084348490949,0.2157649148995217
validation,2,delta_yT,6038,0.2106584127202694,0.1433401091993546,6038,0.29868976395100405,0.1970857403414776,-0.08803135123073466,-0.053745631142122996,0.29472503532184985,0.2727017746134319
validation,2,sigma_F,6038,0.05558685609918928,0.025707079820105398,6038,0.05558685464601382,0.025707075274239394,1.4531754619073745e-09,4.545866003069499e-09,-2.6142430097213334e-08,-1.76833263005412e-07
validation,2,sigma_N,6038,0.14283787389434469,0.06585239139997869,6038,0.14283788307930692,0.06585240830754002,-9.184962235231353e-09,-1.6907561337098365e-08,6.430340493167102e-08,2.5674932430925946e-07
validation,2,sigma_T,6038,0.09792025935942092,0.05721137775574034,6038,0.09792028454456925,0.05721138635389297,-2.5185148327944162e-08,-8.5981526343204e-09,2.572005222930181e-07,1.5028743720934731e-07
validation,2,yF,6038,0.13009858211405936,0.08428755972155597,6038,0.14217666075942526,0.0854342422093647,-0.012078078645365892,-0.001146682487808734,0.08495120493653319,0.013421813761731273
validation,2,yN,6038,0.09861168666374909,0.06086602673778553,6038,0.1071807571539593,0.06289618171852683,-0.008569070490210218,-0.0020301549807413,0.07994971035613432,0.03227787323921594
validation,2,yT,6038,0.21985065092342446,0.16533026453595004,6038,0.25958806473033763,0.1620841563764729,-0.039737413806913174,0.0032461081594771513,0.1530787397648376,-0.020027300829683906
validation,3,all,5069,0.13759462702045042,0.0904033097873605,5069,0.16652488085814443,0.10318551723234322,-0.028930253837694014,-0.012782207444982721,0.17372931713632922,0.12387598364410944
validation,3,delta_yF,5069,0.13602203379628092,0.09078223551488482,5069,0.18371711682772637,0.12007578791751737,-0.04769508303144546,-0.029293552402632553,0.25961153677460375,0.2439588605719158
validation,3,delta_yN,5069,0.0947876217961312,0.05765324763984552,5069,0.13213863963270717,0.08155213710906167,-0.03735101783657596,-0.02389888946921615,0.28266537282657767,0.29305043762685923
validation,3,delta_yT,5069,0.22117344735151148,0.1588836582625587,5069,0.30562379560097264,0.20503282181302762,-0.08445034824946115,-0.046149163550468913,0.27632124679100867,0.2250818339346322
validation,3,sigma_F,5069,0.06237429928393299,0.029744641271468145,5069,0.062374285632135366,0.029744648062093978,1.3651797622915574e-08,-6.790625832475694e-09,-2.1886900161758546e-07,2.2829740053739417e-07
validation,3,sigma_N,5069,0.14857520487751755,0.07115057070219064,5069,0.14857520287821804,0.0711505658561531,1.999299503729901e-09,4.846037529593339e-09,-1.3456481734496824e-08,-6.810961334293103e-08
validation,3,sigma_T,5069,0.10342720977439893,0.06202117459358702,5069,0.10342721652157802,0.06202117061916012,-6.747179093213873e-09,3.974426898700756e-09,6.523601156573917e-08,-6.408177818999343e-08
validation,3,yF,5069,0.13744896724509734,0.09505685402529084,5069,0.15388402574091348,0.09676119531428562,-0.01643505849581614,-0.0017043412889947845,0.10680158916226297,0.017613892464422246
validation,3,yN,5069,0.10083686527223115,0.06496095610313996,5069,0.11304086501853941,0.06802978811825632,-0.012203999746308258,-0.00306883201511636,0.10796095504317599,0.045110121609989486
validation,3,yT,5069,0.23370599378695237,0.1833764499732789,5069,0.2959427798705092,0.1943015402815332,-0.062236786083556844,-0.01092509030825431,0.21030006581268434,0.05622750232666401
