evidence_id,evidence_block,hypothesis_id,cohort,estimand,comparison_or_scenario,horizon_months,metric,estimate,ci95_lower,ci95_upper,denominator,availability_state,adjudication,artifact_path,limitation,authority_commit
DEG:legacy_posthoc:observation_weighted:M0:h2:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,2,aupd_pr_auc,1.02124803,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h3:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,3,aupd_brier,0.9990908352,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h3:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,3,aupd_pr_auc,1.010237438,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h3:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,3,aupd_brier,0.9979289524,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h3:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,3,aupd_pr_auc,1.034623053,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h1:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,1,aupd_brier,0.9458176218,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h1:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,1,aupd_pr_auc,0.9089526965,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h1:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,1,aupd_brier,0.9643223748,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h1:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,1,aupd_pr_auc,0.9488472164,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h2:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,2,aupd_brier,0.9548510415,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h2:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,2,aupd_pr_auc,0.9318391862,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h2:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,2,aupd_brier,0.9693260725,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h2:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,2,aupd_pr_auc,0.9521269276,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h3:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,3,aupd_brier,0.9605478024,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h3:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:mcar,3,aupd_pr_auc,0.9278099659,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h3:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,3,aupd_brier,0.9725534321,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:P1:h3:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,P1:temporal_block,3,aupd_pr_auc,0.9530319104,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:site_weighted:M0:h1:mcar:brier,degradation,H3|H4,legacy_posthoc,site_weighted,M0:mcar,1,aupd_brier,0.9951381064,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:site_weighted:M0:h1:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,site_weighted,M0:mcar,1,aupd_pr_auc,0.9856083021,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:site_weighted:M0:h1:temporal_block:brier,degradation,H3|H4,legacy_posthoc,site_weighted,M0:temporal_block,1,aupd_brier,0.9955869407,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
