split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
test,3,all,6145,0.11553728850558515,0.07292850521824133,-1.3110918464933097,0.9065183979748667,0.37411079908104905
test,3,yN,6145,0.08891895741267355,0.061925218995748446,-1.5521381930668632,0.9290480065093571,0.323042342447478
test,3,yF,6145,0.12159665823662033,0.08205564408112193,-1.5071787207954972,0.8667209113100082,0.33896852715215225
test,3,yT,6145,0.16750231564856907,0.1159586593714839,-0.14423472138320265,0.9288852725793328,0.5479629756378099
test,3,sigma_N,6145,0.14415141410254176,0.07186399666248443,-0.49742600244657115,0.8842961757526444,0.38101209472892145
test,3,sigma_F,6145,0.04188385527511017,0.024814049551601425,-2.7771042841638947,0.9077298616761594,0.13871668174656743
test,3,sigma_T,6145,0.07001880947488877,0.04870511860843593,-2.1717733679601485,0.9381611065907242,0.2685060179844632
test,3,delta_yN,6145,0.0978302173022271,0.06021132720399427,-1.3741305395487948,0.9230268510984541,0.3714261948140876
test,3,delta_yF,6145,0.12405477551564896,0.07566320048395068,-1.45138520038254,0.8688364524003255,0.3734118988496487
test,3,delta_yT,6145,0.18387859358198666,0.11515933200535103,-0.3244555886922763,0.9119609438567942,0.6239504583683123
test,0,all,20553,0.11353366448355819,0.07023896257705808,-1.4202503903821324,0.9115187293555415,0.36609460875264116
test,0,yN,20553,0.08598242679511797,0.058681317621708175,-1.6805230910335034,0.9372840947793509,0.3246199964624376
test,0,yF,20553,0.11448956094033239,0.07572636932362282,-1.6349041874331116,0.8784119106699751,0.3251205216601128
test,0,yT,20553,0.16354598937546944,0.11050704902137033,-0.38292906152438183,0.9259962049335864,0.5269032126707746
test,0,sigma_N,20553,0.14355857544199588,0.06917704742088089,-0.5898586119699727,0.8925217729771809,0.39244681094178013
test,0,sigma_F,20553,0.040262375565400806,0.022556216990646697,-2.8272212509261436,0.9120809614168248,0.13573881621976286
test,0,sigma_T,20553,0.06654057173028889,0.04351195843963445,-2.257505934145516,0.9417603269595679,0.26186093872019084
test,0,delta_yN,20553,0.0974703953923774,0.06008077139913128,-1.6110280299136825,0.933732301853744,0.3755459709248218
test,0,delta_yF,20553,0.12259133733063068,0.07525739550085907,-1.5195665457402623,0.8696054104023744,0.3561005669139409
test,0,delta_yT,20553,0.1873617477804101,0.11665253747566909,-0.2787168007526167,0.9122755802072691,0.5965146442599489
