split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
validation,2,yT,6038,0.18193601837744586,0.1312799488483339,6038,0.25958806473033763,0.1620841563764729,-0.07765204635289177,-0.030804207528138977,0.29913565723276764,0.19005070092471002
validation,3,all,5069,0.12325840675178329,0.07893704184859547,5069,0.16652488085814443,0.10318551723234322,-0.04326647410636114,-0.024248475383747747,0.259819877266377,0.23499882574748707
validation,3,delta_yF,5069,0.12834652180912837,0.0798002014641791,5069,0.18371711682772637,0.12007578791751737,-0.05537059501859801,-0.04027558645333827,0.30139050718131855,0.3354180484828834
validation,3,delta_yN,5069,0.09143197242438768,0.054245412784771324,5069,0.13213863963270717,0.08155213710906167,-0.04070666720831949,-0.02730672432429035,0.3080602866918248,0.33483763016255963
validation,3,delta_yT,5069,0.2050449418134246,0.13458031153721225,5069,0.30562379560097264,0.20503282181302762,-0.10057885378754802,-0.07045251027581537,0.32909366101475096,0.34361576674812594
validation,3,sigma_F,5069,0.058977012851972536,0.02955987303420199,5069,0.062374285632135366,0.029744648062093978,-0.00339727278016283,-0.00018477502789198894,0.054465918859558815,0.006212042835613939
validation,3,sigma_N,5069,0.14836838897872814,0.0711143762314195,5069,0.14857520287821804,0.0711505658561531,-0.00020681389948989937,-3.61896247336041e-05,0.0013919812693065448,0.0005086343910007627
validation,3,sigma_T,5069,0.08255228289179195,0.05875160727516907,5069,0.10342721652157802,0.06202117061916012,-0.02087493362978607,-0.003269563343991047,0.20183211278272128,0.052716891850812395
validation,3,yF,5069,0.11778327678190022,0.08239907855276385,5069,0.15388402574091348,0.09676119531428562,-0.03610074895901326,-0.01436211676152177,0.2345971180906991,0.1484284760525419
validation,3,yN,5069,0.08946795176804073,0.06080787885962776,5069,0.11304086501853941,0.06802978811825632,-0.023572913250498678,-0.007221909258628555,0.2085344379365159,0.10615804426841217
validation,3,yT,5069,0.18735331144667525,0.13917463689801443,5069,0.2959427798705092,0.1943015402815332,-0.10858946842383396,-0.05512690338351878,0.366927243406133,0.2837183035381122
