degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yN,6145,0.29015507597538615,0.17311788032143025,-0.10071654152381758,0.7209113100081367,0.29108222831946934,0.31230219634884504,0.181691635505126,0.0709156728078861,0.04718849692700275
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yT,6145,0.30861061969078085,0.22533593652893683,-0.11347296714841475,0.8193653376729048,0.5750868199800844,0.36323725963995807,0.2256748184124076,0.15038831645003412,0.0015016380022138533
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,all,119943,0.23767617074124636,0.14117493809589815,-0.041568364782128824,0.7869404633867754,0.38158184786538357,0.2753394520054415,0.14502422044783106,0.13678853861977913,0.02654234127269517
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yF,13327,0.14940214112142644,0.09704454614978299,0.0838003915724171,0.8032565468597583,0.34211652935931325,0.13626978394273798,0.06015892626568328,-0.09637027959336034,-0.6131362737625942
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yN,13327,0.0979376925795555,0.04993953676284867,0.024088853251649334,0.7195167704659713,0.09804536198648928,0.12489246409686562,0.05351070868447968,0.21582384263316493,0.06673751870280861
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,delta_yT,13327,0.24970096780745946,0.17618830118896978,0.07991796515098175,0.6681923913859084,0.3645446780177551,0.3243482858451581,0.20064651113026707,0.23014556048350704,0.12189701083523018
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,irc1,13327,0.20810283506965688,0.16107714621772706,-0.04139755784208844,0.7511067757184663,0.45873306598321223,0.25477526746002643,0.17007229812854116,0.18319059324583906,0.052890165005094095
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,sigma_F,13327,0.28700373199582413,0.1467789607864804,-0.10038091893939628,0.8426502588729646,0.4676700865247047,0.31339134682865555,0.15840714558646335,0.08420020239824508,0.07340694611302079
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,sigma_N,13327,0.3100932573120022,0.155383549526335,-0.12134822478784744,0.7925264500637803,0.2617721962044732,0.3239386471403403,0.16376350846815013,0.04274077807807801,0.05117110044967626
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,sigma_T,13327,0.13882716200538012,0.09624882452773043,-0.05403391530431379,0.7857732422900878,0.3683425072680368,0.16662686494079823,0.11081532697554036,0.16683806026894415,0.1314484453132112
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,yF,13327,0.24677020662460475,0.1672964416771243,-0.11687930493879704,0.8632100247617618,0.6890834143231969,0.3123711859622144,0.17645720864719983,0.21000970091250673,0.05191494890067732
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,yN,13327,0.2599521825402437,0.14967315705109274,-0.10395195506068676,0.75665941322128,0.21651788174459216,0.2819449392802943,0.15508496220254145,0.07800372936712505,0.034895744078532076
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,2,yT,13327,0.29643493571977975,0.2320211251927193,-0.06532817398316623,0.8506790725594657,0.6261439753598906,0.36735994642561526,0.22637368607015426,0.19306680381443472,-0.02494741867133302
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,all,64386,0.24647144631356202,0.12669230876847212,-0.06338755538464513,0.7936352623241077,0.23267742617191922,0.2744460631703369,0.12489401024649492,0.10193120110239005,-0.014398597005797318
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,delta_yF,7154,0.035489392271357195,0.028928587553483032,0.028928587553483032,0.9981828347777467,0.11589065782370239,0.0,0.0,,
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,delta_yN,7154,0.013633444515615966,0.011108542095825616,0.011108542095825616,0.9087223930668158,0.03394701154089427,0.0,0.0,,
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,delta_yT,7154,0.259970223631633,0.17378616207909195,0.0659955484610653,0.6716522225328487,0.30904219252786913,0.3366310623700264,0.1941231569244737,0.22772954521388586,0.1047633634625783
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,irc1,7154,0.1898552476099658,0.1441817339209758,-0.009276142590914575,0.7421023203802068,0.38019195484531326,0.22892308202816875,0.14146568724910907,0.1706592191231974,-0.01919933182867165
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,sigma_F,7154,0.3692135569317868,0.18991138210612837,-0.18630259409320327,0.7462957785854067,0.21947528621265683,0.39036021568179874,0.1966207893893876,0.05417216688713375,0.034123590410228284
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,sigma_N,7154,0.3790502329174468,0.1912793410538654,-0.18951865826611813,0.7499301090299133,0.09343688948658473,0.3875541617166673,0.1938041833815442,0.02194255574898846,0.013027800967062296
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,2,sigma_T,7154,0.1415424223285689,0.09650994709041079,-0.07088464389984199,0.6973720995247414,0.2713157072307129,0.16350569681480792,0.10588759073523481,0.13432727369197034,0.08856225342091521
