evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,estimand,endpoint,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,metric,estimate,status
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.4114362776090701,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.4641185647425897,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.7531645569620253,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.18307692307692308,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.3779010462482921,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.42788051940504146,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.48178843373586755,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.325592112046741,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.33851270584783566,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.4131153572551596,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,reliability_bias,0.4131153572551596,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,f2,0.4981214721821723,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,recall,0.8133575372706406,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,precision,0.19531914514064022,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,macro_f1,0.3891619974753759,estimated
