evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed
legacy_posthoc,P0,20260614,seed,1,0.9,635,0.3732283464566929,0.41618436751471655,4.438888418048409,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260614,seed,2,0.9,625,0.3312,0.38627223576804,4.684880059069037,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260614,seed,3,0.9,609,0.30049261083743845,0.3630713692345805,4.865299470749103,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,-1,family,1,0.9,635,0.16062992125984252,0.40086803598353865,4.539297634254599,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,-1,family,2,0.9,625,0.1184,0.3348088248093923,5.067319309950109,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,-1,family,3,0.9,609,0.10837438423645321,0.3036651402711868,5.326672197069291,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,1729,seed,1,0.9,635,0.15118110236220472,0.3795607334907286,4.6732442968953665,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,1729,seed,2,0.9,625,0.1072,0.2949062784512838,5.342380658476873,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,1729,seed,3,0.9,609,0.10673234811165845,0.2856032500664393,5.410858313366865,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,314159,seed,1,0.9,635,0.18110236220472442,0.41168695143436185,4.406400967805083,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,314159,seed,2,0.9,625,0.1312,0.3664419671853384,4.736163390702765,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,314159,seed,3,0.9,609,0.12315270935960591,0.3513852755228678,4.854110984899319,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260612,seed,1,0.9,635,0.15748031496062992,0.3797194774617046,4.693604115213351,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260612,seed,2,0.9,625,0.1296,0.3437312662601471,5.010070609867383,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260612,seed,3,0.9,609,0.11658456486042693,0.32315897941589355,5.198575849609213,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260613,seed,1,0.9,635,0.18110236220472442,0.40975407257167673,4.505055868530283,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260613,seed,2,0.9,625,0.1168,0.3170481721560159,5.241253375709053,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260613,seed,3,0.9,609,0.09523809523809523,0.24146766463915506,5.850418383201874,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260614,seed,1,0.9,635,0.1889763779527559,0.4236189449592212,4.425588099349408,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260614,seed,2,0.9,625,0.1296,0.3519164399941762,5.017475181570212,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P1,20260614,seed,3,0.9,609,0.11494252873563218,0.31671053171157837,5.330867089420031,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
