evaluation_cohort,model_id,horizon_months,chlorophyll_cutoff_ugL,primary_endpoint,metric,estimate,rows,interpretation,inference_performed
fresh_primary,B1,3,50.0,False,macro_f1,0.31388899107693946,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,25.0,False,brier,0.1083211979197353,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,25.0,False,f2,0.4425287356321839,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,25.0,False,recall,0.39690721649484534,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,25.0,False,precision,0.8191489361702128,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,25.0,False,macro_f1,0.7266068532035685,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,30.0,True,brier,0.09217785995530534,966,primary_calibrated_endpoint,False
fresh_primary,B2,1,30.0,True,f2,0.47587131367292224,966,primary_calibrated_endpoint,False
fresh_primary,B2,1,30.0,True,recall,0.43558282208588955,966,primary_calibrated_endpoint,False
fresh_primary,B2,1,30.0,True,precision,0.7553191489361702,966,primary_calibrated_endpoint,False
fresh_primary,B2,1,30.0,True,macro_f1,0.7419362332307335,966,primary_calibrated_endpoint,False
fresh_primary,B2,1,33.0,False,brier,0.08870804783823702,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,33.0,False,f2,0.471976401179941,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,33.0,False,recall,0.4383561643835616,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,33.0,False,precision,0.6808510638297872,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,33.0,False,macro_f1,0.7335697399527187,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,50.0,False,brier,0.0712265045126007,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,50.0,False,f2,0.48223350253807107,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,50.0,False,recall,0.5066666666666667,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,50.0,False,precision,0.40425531914893614,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,1,50.0,False,macro_f1,0.6984765746928145,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,25.0,False,brier,0.11045719361821686,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,25.0,False,f2,0.4636150234741784,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,25.0,False,recall,0.41798941798941797,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,25.0,False,precision,0.8229166666666666,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,25.0,False,macro_f1,0.737028529578215,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,30.0,True,brier,0.09478770354294169,933,primary_calibrated_endpoint,False
fresh_primary,B2,2,30.0,True,f2,0.5013736263736264,933,primary_calibrated_endpoint,False
fresh_primary,B2,2,30.0,True,recall,0.4620253164556962,933,primary_calibrated_endpoint,False
fresh_primary,B2,2,30.0,True,precision,0.7604166666666666,933,primary_calibrated_endpoint,False
fresh_primary,B2,2,30.0,True,macro_f1,0.7539028154979387,933,primary_calibrated_endpoint,False
fresh_primary,B2,2,33.0,False,brier,0.09058516846445504,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,33.0,False,f2,0.5,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,33.0,False,recall,0.46808510638297873,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,33.0,False,precision,0.6875,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,33.0,False,macro_f1,0.7462526517005852,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,50.0,False,brier,0.06341960887156857,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,50.0,False,f2,0.5645161290322581,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,50.0,False,recall,0.6086956521739131,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,50.0,False,precision,0.4375,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,2,50.0,False,macro_f1,0.7307359307359307,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,25.0,False,brier,0.11124297171241912,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,25.0,False,f2,0.42027194066749074,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,25.0,False,recall,0.3756906077348066,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,25.0,False,precision,0.8,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,25.0,False,macro_f1,0.712421012637978,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,30.0,True,brier,0.09372517127095778,885,primary_calibrated_endpoint,False
fresh_primary,B2,3,30.0,True,f2,0.44525547445255476,885,primary_calibrated_endpoint,False
fresh_primary,B2,3,30.0,True,recall,0.4066666666666667,885,primary_calibrated_endpoint,False
fresh_primary,B2,3,30.0,True,precision,0.7176470588235294,885,primary_calibrated_endpoint,False
fresh_primary,B2,3,30.0,True,macro_f1,0.7227666504955298,885,primary_calibrated_endpoint,False
fresh_primary,B2,3,33.0,False,brier,0.08840101986201689,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,33.0,False,f2,0.43230016313213704,885,predeclared_endpoint_sensitivity_without_recalibration,False
