evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots,artifact_path,authority_commit,limitation
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,pr_auc,higher,0.9749605949,descriptive_available,0.01752587734,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,brier,lower,0.9951381064,descriptive_available,0.001742188035,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,pr_auc,higher,0.9856083021,descriptive_available,0.05653766275,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,brier,lower,0.9955869407,descriptive_available,0.002997047894,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,pr_auc,higher,0.9704218682,descriptive_available,0.04992196044,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,brier,lower,0.9965225869,descriptive_available,0.001048771465,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,pr_auc,higher,0.9681548438,descriptive_available,0.01560865918,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9984125556,descriptive_available,0.001664923823,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,1.02124803,descriptive_available,0.01358729564,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,brier,lower,0.9936228369,descriptive_available,0.001210067573,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,pr_auc,higher,0.9607768874,descriptive_available,0.03300568084,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,brier,lower,0.9959623197,descriptive_available,0.00187240837,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,pr_auc,higher,1.007506857,descriptive_available,0.01275827236,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,brier,lower,0.9990908352,descriptive_available,0.00119131278,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,pr_auc,higher,1.010237438,descriptive_available,0.0190899464,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
