score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
meta_logistic,2,validation,aquamatch_chla,106736,0.7999999999999999,12013,0.1125487183330835,0.5158911415749116,0.8773129350220527,0.12535635181542348,0.5455756264047282,0.746590562101201
meta_logistic,2,validation,lakebed_us_cse,430,0.7999999999999999,55,0.12790697674418605,0.369596370264366,0.7752242424242425,0.20220175589111097,0.38181818181818183,0.6267531636895244
meta_logistic,2,validation,wqp,47050,0.7999999999999999,7629,0.16214665249734325,0.6396329262962044,0.8907294272163295,0.1506127763166535,0.5869707694324289,0.7725224197803751
source_selector,2,validation,all,154216,0.26759993589983205,19697,0.1277234528194221,0.5176381816162747,0.8640449275800376,0.07858299553964246,0.5958267756511144,0.7509019270154746
source_selector,2,validation,aquamatch_chla,106736,0.26759993589983205,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07264247114060754,0.5829518022142679,0.7410829758749291
source_selector,2,validation,lakebed_us_cse,430,0.26759993589983205,55,0.12790697674418605,0.3023587577673711,0.7607757575757575,0.10001325058959092,0.4727272727272727,0.6732782181698591
source_selector,2,validation,wqp,47050,0.26759993589983205,7629,0.16214665249734325,0.6061923498040743,0.8669410812080297,0.09186360770933244,0.6169878096736139,0.7663142230851223
baseline_calibrated,3,test,all,99670,0.3,14639,0.1468746864653356,0.5979540158223516,0.8644857283695,0.08539284248739643,0.6347428103012501,0.7625429124811377
baseline_calibrated,3,test,aquamatch_chla,55831,0.3,6689,0.11980799197578407,0.5302772627099147,0.8528263327295583,0.07622972700918208,0.5861862759754821,0.7448829820911341
baseline_calibrated,3,test,lakebed_us_cse,143,0.3,17,0.11888111888111888,0.5087572087744411,0.7866479925303456,0.07945038366733888,0.5882352941176471,0.709349593495935
baseline_calibrated,3,test,wqp,43696,0.3,7933,0.1815497986085683,0.6519664633479685,0.8711701517461203,0.09712013267129091,0.6757846968360015,0.774991078159631
irc1_calibrated,3,test,all,99670,0.3,14639,0.1468746864653356,0.5330665039354142,0.8505653892071455,0.08994777280953549,0.552291823211968,0.7389585623760706
irc1_calibrated,3,test,aquamatch_chla,55831,0.3,6689,0.11980799197578407,0.4547097646139875,0.8532229214176381,0.07732130359523065,0.5655553894453581,0.737373198424945
irc1_calibrated,3,test,lakebed_us_cse,143,0.3,17,0.11888111888111888,0.3096796942747866,0.7980859010270774,0.1023568041695122,0.0,0.4541984732824427
irc1_calibrated,3,test,wqp,43696,0.3,7933,0.1815497986085683,0.5846754842229326,0.8389421641687999,0.10604018198244324,0.5422916929282743,0.7386280509376524
irc1_no_chla_calibrated,3,test,all,99670,0.2,14639,0.1468746864653356,0.2411147271457498,0.6267183776292711,0.11907993147550394,0.3541908600314229,0.5977231799048097
irc1_no_chla_calibrated,3,test,aquamatch_chla,55831,0.2,6689,0.11980799197578407,0.11980799197578407,0.5,0.10554721740399414,0.0,0.468139426328675
irc1_no_chla_calibrated,3,test,lakebed_us_cse,143,0.2,17,0.11888111888111888,0.11447239805703982,0.3933239962651727,0.11706335653945808,0.058823529411764705,0.44184231069476976
