model_version,source_id,horizon_months,split,decile,rows,bloom_positive,bloom_rate,base_bloom_rate,lift,capture_rate,cumulative_capture_rate,mean_pred_probability,min_pred_probability,max_pred_probability
current_refined_fuzzy_v0,all,2,validation,2,15422,4562,0.2958111788354299,0.1277234528194221,2.3160286721472643,0.23160887444788547,0.698786617251358,0.2952605689598208,0.18107798165137612,0.5552357698043828
current_refined_fuzzy_v0,all,2,validation,3,15421,2087,0.13533493288372997,0.1277234528194221,1.0595934411127228,0.10595522160735138,0.8047418388587094,0.13612291950221872,0.09321011463830567,0.18107798165137612
current_refined_fuzzy_v0,all,2,validation,4,15422,1350,0.08753728439891065,0.1277234528194221,0.6853657841733465,0.06853835609483677,0.8732801949535463,0.0812075533762343,0.07059473758292331,0.09321011463830567
current_refined_fuzzy_v0,all,2,validation,5,15421,889,0.05764866091693146,0.1277234528194221,0.4513553278146673,0.04513377671726659,0.9184139716708128,0.05847448214556432,0.042663821783424795,0.07059473758292331
current_refined_fuzzy_v0,all,2,validation,6,15422,539,0.03495007132667618,0.1277234528194221,0.27363863531069166,0.02736457328527187,0.9457785449560847,0.030825381149708498,0.01955241003770082,0.042663821783424795
current_refined_fuzzy_v0,all,2,validation,7,15422,271,0.017572299312670212,0.1277234528194221,0.1375808351933162,0.013758440371630197,0.9595369853277149,0.01943993415180505,0.019409815939903787,0.01955241003770082
current_refined_fuzzy_v0,all,2,validation,8,15421,189,0.012256014525646845,0.1277234528194221,0.09595743189760643,0.009595369853277148,0.9691323551809921,0.019409815939903784,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,all,2,validation,9,15422,350,0.022694851510828687,0.1277234528194221,0.17768742552642317,0.01776920343199472,0.9869015586129868,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,all,2,validation,10,15421,258,0.01673043252707347,0.1277234528194221,0.130989510209431,0.01309844138701325,1.0,0.018910350868883805,0.014938630923336802,0.019409815939903787
current_refined_fuzzy_v0,aquamatch_chla,2,validation,1,10674,6018,0.5637998875772906,0.1125487183330835,5.009385232702047,0.5009572962623824,0.5009572962623824,0.5664414499785358,0.5664414499785358,0.5664414499785358
current_refined_fuzzy_v0,aquamatch_chla,2,validation,2,10674,2514,0.23552557616638561,0.1125487183330835,2.0926544491546935,0.20927328727212186,0.7102305835345043,0.26788902673009685,0.1729285303292626,0.5664414499785358
current_refined_fuzzy_v0,aquamatch_chla,2,validation,3,10673,1244,0.1165557949967207,0.1125487183330835,1.0356030412694563,0.10355448264380254,0.8137850661783068,0.12678243016853288,0.0877525822094654,0.1729285303292626
current_refined_fuzzy_v0,aquamatch_chla,2,validation,4,10674,798,0.07476110174255199,0.1125487183330835,0.66425546954075,0.06642803629401482,0.8802131024723217,0.07237843619973877,0.056523447942258484,0.0877525822094654
