model_version,group_type,group_value,source_id,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,tn,fp,fn,tp,precision,recall,specificity,false_positive_rate,false_negative_rate,macro_f1,pr_auc,roc_auc,brier
current_refined_fuzzy_v0,full_evidence_band,high,all,2,test,21197,0.267599935899832,4901,0.23121196395716376,14416,1880,1668,3233,0.6323097985527087,0.6596612936135483,0.884634266077565,0.11536573392243496,0.34033870638645175,0.7680611072848846,0.6594177343830823,0.8560180203272714,0.1215633356569546
current_refined_fuzzy_v0,full_evidence_band,low,all,2,test,68195,0.267599935899832,8110,0.11892367475621379,56014,4071,3192,4918,0.5471131382801201,0.6064118372379778,0.932245984854789,0.06775401514521096,0.3935881627620222,0.7571767953833559,0.49780805564071273,0.8718094557166086,0.07249528892280767
current_refined_fuzzy_v0,full_evidence_band,medium,all,2,test,26238,0.267599935899832,3754,0.1430749294915771,20861,1623,1167,2587,0.6144893111638955,0.6891315929675014,0.9278153353495819,0.07218466465041808,0.3108684070324987,0.7934969020368798,0.6992550809843902,0.9041769547695646,0.07355639021781771
current_refined_fuzzy_v0,full_evidence_band,missing,all,2,test,61,0.267599935899832,0,0.0,61,0,0,0,0.0,0.0,1.0,0.0,,1.0,0.0,,0.005406574394463667
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,2,test,21923,0.267599935899832,4956,0.2260639511015828,15099,1868,1775,3181,0.6300257476728065,0.6418482647296206,0.889903931160488,0.11009606883951199,0.35815173527037936,0.7641157879143818,0.6503347356696896,0.8519655350534935,0.12105063416575898
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,2,test,5846,0.267599935899832,765,0.1308587068080739,4823,258,341,424,0.6217008797653959,0.5542483660130719,0.9492225939775635,0.05077740602243653,0.44575163398692813,0.7637862688931139,0.5925617649412295,0.8732394040080114,0.07683029362220765
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,2,test,22454,0.267599935899832,3233,0.1439832546539592,17774,1447,912,2321,0.6159766454352441,0.7179090627899783,0.9247177566203632,0.07528224337963686,0.28209093721002165,0.8004084429078485,0.715554419126104,0.9105899177543094,0.07206982461874449
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,2,test,65468,0.267599935899832,7811,0.11931019734832285,53656,4001,2999,4812,0.546011573811415,0.616054282422225,0.9306068647345509,0.06939313526544912,0.38394571757777496,0.7588430623420521,0.49809582319668755,0.8739489922332531,0.07224442216447502
current_refined_fuzzy_v0,overall,all,all,2,validation,154216,0.267599935899832,19697,0.1277234528194221,124664,9855,7961,11736,0.5435598165902459,0.5958267756511144,0.926738973676581,0.07326102632341899,0.40417322434888564,0.7509019270154746,0.5176381816162747,0.8640449275800376,0.07858299553964246
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,2,validation,106736,0.267599935899832,12013,0.1125487183330835,88019,6704,5010,7003,0.5109068359232509,0.5829518022142679,0.9292252145730182,0.07077478542698183,0.4170481977857321,0.7410829758749291,0.4523361786443697,0.8585993722851256,0.07264247114060754
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,2,validation,430,0.267599935899832,55,0.12790697674418605,337,38,29,26,0.40625,0.4727272727272727,0.8986666666666666,0.10133333333333333,0.5272727272727272,0.6732782181698591,0.3023587577673711,0.7607757575757575,0.10001325058959092
current_refined_fuzzy_v0,source,wqp,wqp,2,validation,47050,0.267599935899832,7629,0.16214665249734325,36308,3113,2922,4707,0.601918158567775,0.6169878096736139,0.9210319372923061,0.07896806270769387,0.38301219032638617,0.7663142230851223,0.6061923498040743,0.8669410812080297,0.09186360770933244
current_refined_fuzzy_v0,full_evidence_band,high,all,2,validation,18803,0.267599935899832,4091,0.21757166409615486,13002,1710,1422,2669,0.6094998858186801,0.6524077242727939,0.883768352365416,0.11623164763458402,0.3475922757272061,0.7613642198747785,0.6147970315227755,0.8499105667569058,0.11846695652975683
current_refined_fuzzy_v0,full_evidence_band,low,all,2,validation,110103,0.267599935899832,12410,0.11271264179904271,90936,6757,5285,7125,0.5132545742688374,0.5741337630942788,0.9308343484180034,0.06916565158199667,0.4258662369057212,0.7399451326221126,0.45413646833990834,0.8572405837811263,0.07295644975507709
current_refined_fuzzy_v0,full_evidence_band,medium,all,2,validation,25255,0.267599935899832,3189,0.12627202534151652,20678,1388,1247,1942,0.5831831831831832,0.6089683286296644,0.9370977975165413,0.06290220248345871,0.3910316713703355,0.7679491428696583,0.6166866059552664,0.8812735870895821,0.07334108569797038
current_refined_fuzzy_v0,full_evidence_band,missing,all,2,validation,55,0.267599935899832,7,0.12727272727272726,48,0,7,0,0.0,0.0,1.0,0.0,1.0,0.46601941747572817,0.12727272727272726,0.5,0.11396272412708396
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,2,validation,19471,0.267599935899832,4063,0.2086693030660983,13726,1682,1451,2612,0.608290638099674,0.6428747231110017,0.8908359293873312,0.10916407061266874,0.35712527688899826,0.7613344340425325,0.6072613111340253,0.8487527391788061,0.1150361626398608
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,2,validation,4355,0.267599935899832,632,0.14512055109070035,3575,148,354,278,0.6525821596244131,0.439873417721519,0.9602471125436476,0.0397528874563524,0.560126582278481,0.7299580425246819,0.5722622495532189,0.8530735642618414,0.0913588483096568
