evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,M0,1729,1729,seed,3,site_weighted,mcar,brier,lower,1.000761385114585,estimated,,1
fresh_primary,M0,1729,314159,seed,3,site_weighted,mcar,brier,lower,0.9993915876162076,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,site_weighted,mcar,brier,lower,0.9993823512272978,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,site_weighted,mcar,brier,lower,0.9980965224076447,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,site_weighted,mcar,brier,lower,0.9990266793238395,estimated,,1
fresh_primary,M0,1729,1729,seed,3,site_weighted,mcar,pr_auc,higher,1.2493286542861628,estimated,,1
fresh_primary,M0,1729,314159,seed,3,site_weighted,mcar,pr_auc,higher,1.0607412589091685,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,site_weighted,mcar,pr_auc,higher,1.1310556975731025,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,site_weighted,mcar,pr_auc,higher,1.040839724582961,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,site_weighted,mcar,pr_auc,higher,0.9704552285661264,estimated,,1
fresh_primary,M0,1729,1729,seed,3,site_weighted,temporal_block,brier,lower,0.996053563998339,estimated,,1
fresh_primary,M0,1729,314159,seed,3,site_weighted,temporal_block,brier,lower,0.9978870807151381,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,site_weighted,temporal_block,brier,lower,0.9999062928945234,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,site_weighted,temporal_block,brier,lower,0.9978475461777879,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,site_weighted,temporal_block,brier,lower,0.9986070874540921,estimated,,1
fresh_primary,M0,1729,1729,seed,3,site_weighted,temporal_block,pr_auc,higher,0.9895170004529595,estimated,,1
fresh_primary,M0,1729,314159,seed,3,site_weighted,temporal_block,pr_auc,higher,1.0749959993360114,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,site_weighted,temporal_block,pr_auc,higher,0.9858383772597602,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,site_weighted,temporal_block,pr_auc,higher,1.0578816102325657,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,site_weighted,temporal_block,pr_auc,higher,1.060853043184968,estimated,,1
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,brier,lower,0.9268253487554402,descriptive_available,0.011514471664828189,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,pr_auc,higher,0.8163465741224438,descriptive_available,0.04451193165874022,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,brier,lower,0.9523225966501159,descriptive_available,0.007614990511466141,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,pr_auc,higher,0.8929297006436474,descriptive_available,0.027315271282382595,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,brier,lower,0.9599536026950288,descriptive_available,0.015351630252456576,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,pr_auc,higher,0.8830325460067471,descriptive_available,0.04822296230924741,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,brier,lower,0.9796040682972714,descriptive_available,0.009196271867586299,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,pr_auc,higher,0.9506356897110265,descriptive_available,0.03647904412446499,5
