model_id,base_seed,time_role,origin_year_month,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,training,2013-09,26,26,0,0.0
P0,1729,training,2013-10,27,27,0,0.0
P0,1729,training,2013-11,28,27,1,0.03571428571428571
P0,1729,training,2013-12,27,26,1,0.037037037037037035
P0,1729,training,2014-01,27,27,0,0.0
P0,1729,training,2014-02,27,27,0,0.0
P0,1729,training,2014-03,27,26,1,0.037037037037037035
P0,1729,training,2014-04,27,27,0,0.0
P0,1729,training,2014-05,29,29,0,0.0
P0,1729,training,2014-06,33,30,3,0.09090909090909091
P0,1729,training,2014-07,33,29,4,0.12121212121212122
P0,1729,training,2014-08,29,29,0,0.0
P0,1729,training,2014-09,29,29,0,0.0
P0,1729,training,2014-10,24,24,0,0.0
P0,1729,training,2014-11,25,24,1,0.04
P0,1729,training,2014-12,11,11,0,0.0
P0,1729,training,2015-01,12,11,1,0.08333333333333333
P0,1729,training,2015-02,11,11,0,0.0
P0,1729,training,2015-03,10,9,1,0.1
P0,1729,training,2015-04,11,7,4,0.36363636363636365
P0,1729,training,2015-05,12,12,0,0.0
P0,1729,training,2015-06,11,11,0,0.0
P0,1729,training,2015-07,11,11,0,0.0
P0,1729,training,2015-08,12,12,0,0.0
P0,1729,training,2015-09,12,11,1,0.08333333333333333
P0,1729,training,2015-10,11,11,0,0.0
P0,1729,training,2015-11,13,12,1,0.07692307692307693
P0,1729,training,2015-12,24,24,0,0.0
P0,1729,training,2016-01,23,23,0,0.0
P0,1729,training,2016-02,26,26,0,0.0
P0,1729,training,2016-03,28,28,0,0.0
P0,1729,training,2016-04,29,29,0,0.0
P0,1729,training,2016-05,29,29,0,0.0
P0,1729,training,2016-06,33,27,6,0.18181818181818182
P0,1729,training,2016-07,27,27,0,0.0
P0,1729,training,2016-08,27,27,0,0.0
P0,1729,training,2016-09,29,27,2,0.06896551724137931
P0,1729,training,2016-10,27,27,0,0.0
P0,1729,training,2016-11,27,27,0,0.0
P0,1729,training,2016-12,27,26,1,0.037037037037037035
P0,1729,training,2017-01,26,26,0,0.0
P0,1729,training,2017-02,27,26,1,0.037037037037037035
P0,1729,training,2017-03,26,24,2,0.07692307692307693
P0,1729,training,2017-04,26,26,0,0.0
P0,1729,training,2017-05,30,30,0,0.0
P0,1729,training,2017-06,33,33,0,0.0
P0,1729,training,2017-07,36,33,3,0.08333333333333333
P0,1729,training,2017-08,35,35,0,0.0
P0,1729,training,2017-09,34,34,0,0.0
P0,1729,training,2017-10,37,37,0,0.0
P0,1729,training,2017-11,45,44,1,0.022222222222222223
P0,1729,training,2017-12,54,47,7,0.12962962962962962
P0,1729,training,2018-01,47,45,2,0.0425531914893617
P0,1729,training,2018-02,49,49,0,0.0
P0,1729,training,2018-03,55,55,0,0.0
P0,1729,training,2018-04,54,53,1,0.018518518518518517
P0,1729,training,2018-05,58,58,0,0.0
P0,1729,training,2018-06,62,62,0,0.0
P0,1729,training,2018-07,61,46,15,0.2459016393442623
P0,1729,training,2018-08,46,35,11,0.2391304347826087
P0,1729,training,2018-09,44,43,1,0.022727272727272728
P0,314159,calibration_threshold,2021-01,28,28,0,0.0
P0,314159,calibration_threshold,2021-02,28,28,0,0.0
P0,314159,calibration_threshold,2021-03,40,37,3,0.075
P0,314159,calibration_threshold,2021-04,37,33,4,0.10810810810810811
P0,314159,calibration_threshold,2021-05,36,36,0,0.0
P0,314159,calibration_threshold,2021-06,38,35,3,0.07894736842105263
P0,314159,calibration_threshold,2021-07,36,35,1,0.027777777777777776
P0,314159,calibration_threshold,2021-08,38,36,2,0.05263157894736842
P0,314159,calibration_threshold,2021-09,38,34,4,0.10526315789473684
P0,314159,model_selection,2019-01,60,60,0,0.0
P0,314159,model_selection,2019-02,64,64,0,0.0
P0,314159,model_selection,2019-03,64,64,0,0.0
P0,314159,model_selection,2019-04,66,62,4,0.06060606060606061
