model_id,surface_id,endpoint,model_seed,seed_slot,nominal_coverage,breakdown_id,stratum,attempted_row_count,success_row_count,failure_row_count,location_count,empirical_coverage,absolute_coverage_error,mean_interval_width,median_interval_width,winkler_interval_score,status
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,predicted_risk_band,"[.5,.75)",796,796,0,25,0.88693467336683418,0.013065326633165841,1.2283136465009896,1.2153384977246864,1.3532858981288587,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,predicted_risk_band,"[.75,1]",630,630,0,18,0.97619047619047616,0.076190476190476142,1.3268314494423556,1.3313438012456871,1.3870194139348213,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,global,all,13464,1869,11595,33,0.97378277153558057,0.023782771535580616,1.3761497405799794,1.3774941798166691,1.4191921880581604,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,horizon,1,4488,635,3853,32,0.96535433070866139,0.015354330708661434,1.3901700147593588,1.3787616435113665,1.4518803380359926,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,horizon,2,4488,625,3863,33,0.9728,0.022800000000000042,1.3465063940064752,1.3565434004854218,1.3929911477626,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,horizon,3,4488,609,3879,33,0.98357963875205257,0.03357963875205261,1.3919530533953066,1.4038744623659198,1.4119978940496252,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,predicted_risk_band,"[0,.25)",194,194,0,7,1,0.050000000000000044,1.2733497079006417,1.235087278270115,1.2733497079006417,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,predicted_risk_band,"[.25,.5)",249,249,0,12,1,0.050000000000000044,1.2592193200070858,1.2473006023955682,1.2592193200070858,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,predicted_risk_band,"[.5,.75)",796,796,0,25,0.95477386934673369,0.004773869346733739,1.3644712707424334,1.3521370328134039,1.4196938154351799,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,predicted_risk_band,"[.75,1]",630,630,0,18,0.97936507936507933,0.029365079365079372,1.4687766343151041,1.4643184475293243,1.5266959815552534,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.94999999999999996,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,global,all,13464,1869,11595,33,0.84697699304440877,0.046976993044408721,0.93764209481118788,0.94327866083746736,1.1272540639488839,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,horizon,1,4488,635,3853,32,0.85984251968503933,0.059842519685039286,0.96235914200485673,0.96630665092894885,1.1312612954086103,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,horizon,2,4488,625,3863,33,0.83840000000000003,0.03839999999999999,0.92960949902037904,0.93687367618566708,1.1274945614588445,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,horizon,3,4488,609,3879,33,0.8423645320197044,0.04236453201970436,0.92011343701361115,0.92531381675359259,1.1228289360003594,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,predicted_risk_band,"[0,.25)",163,163,0,7,1,0.19999999999999996,0.8834332081439793,0.86019897547767576,0.8834332081439793,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,predicted_risk_band,"[.25,.5)",273,273,0,14,0.86446886446886451,0.064468864468864462,0.84359770770604847,0.8307974052604985,0.89561327622051579,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,predicted_risk_band,"[.5,.75)",719,719,0,25,0.68845618915159945,0.11154381084840059,0.92784998185388201,0.91988946246047854,1.3333608220451056,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,predicted_risk_band,"[.75,1]",714,714,0,19,0.96498599439775912,0.16498599439775907,0.9958363461035703,0.99083559808429666,1.063934701868857,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.80000000000000004,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,global,all,13464,1869,11595,33,0.94810058855002677,0.048100588550026746,1.2669127466521892,1.2747349956982568,1.3292356927794005,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,horizon,1,4488,635,3853,32,0.94645669291338586,0.046456692913385833,1.2649627119345745,1.2701514729449426,1.3342494744665589,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,horizon,2,4488,625,3863,33,0.94720000000000004,0.04720000000000002,1.2611575664497847,1.2710125345903733,1.3306271886537733,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,horizon,3,4488,609,3879,33,0.95073891625615758,0.050738916256157562,1.2748524177066847,1.2820577430696378,1.3225798039570216,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,predicted_risk_band,"[0,.25)",163,163,0,7,1,0.099999999999999978,1.1938860637404831,1.1642529172930491,1.1938860637404831,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,predicted_risk_band,"[.25,.5)",273,273,0,14,1,0.099999999999999978,1.1383926449713873,1.11869756452717,1.1383926449713873,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,predicted_risk_band,"[.5,.75)",719,719,0,25,0.88317107093184977,0.016828929068150256,1.2537834790985842,1.2420190078335098,1.3703384509503866,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,predicted_risk_band,"[.75,1]",714,714,0,19,0.98179271708683469,0.081792717086834665,1.3459453523167673,1.340941588526263,1.3917136458045993,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.90000000000000002,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,global,all,13464,1869,11595,33,0.97966827180310323,0.029668271803103274,1.4028939829954652,1.4100146534385503,1.4342204125638416,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,horizon,1,4488,635,3853,32,0.97637795275590555,0.026377952755905598,1.3966472555221847,1.4023761744510339,1.4327005563288362,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,horizon,2,4488,625,3863,33,0.97599999999999998,0.026000000000000023,1.389689974257734,1.4005493234666981,1.4344541943003959,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,horizon,3,4488,609,3879,33,0.98686371100164205,0.036863711001642097,1.4229583137124033,1.4310007172767787,1.4355652321432866,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,predicted_risk_band,"[0,.25)",163,163,0,7,1,0.050000000000000044,1.3220787832585839,1.2836035579735201,1.3220787832585839,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,predicted_risk_band,"[.25,.5)",273,273,0,14,1,0.050000000000000044,1.2603167565463962,1.2372779833123557,1.2603167565463962,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,predicted_risk_band,"[.5,.75)",719,719,0,25,0.9624478442280946,0.01244784422809464,1.3884389547530354,1.3714469540834204,1.4272725021989163,available
A0,closure_v1_primary,target_risk_chla_h,20260614,20260614,0.94999999999999996,predicted_risk_band,"[.75,1]",714,714,0,19,0.98459383753501406,0.034593837535014105,1.4904144671467463,1.4830997624085174,1.5333105123144026,available
